"ID","model","n_points","converged","R2","AIC","AICc","BIC"
"Aerobic Psychotropic._7_Salted Chicken Breast_3","Quadratic",14,TRUE,0.969851650347078,-17.6697654947541,-15.2697654947541,-15.7525935059083
"Aerobic Psychotropic._7_Salted Chicken Breast_3","Logistic",14,TRUE,0.973750759351402,-19.6086692146316,-17.2086692146316,-17.6914972257859
"Arthrobacter aurescens_0_TGE agar_6","Quadratic",17,TRUE,0.97139892018517,-41.1581840672424,-39.3120302210885,-38.6585440350737
"Arthrobacter aurescens_0_TGE agar_6","Logistic",17,TRUE,0.825437269174096,-10.4079092838775,-8.56175543772365,-7.90826925170885
"Arthrobacter aurescens_20_TGE agar_6","Quadratic",8,TRUE,0.925812903706217,-6.57773613024742,-0.577736130247418,-6.33941150520791
"Arthrobacter aurescens_20_TGE agar_6","Logistic",8,TRUE,0.982384614244453,-18.080276288933,-12.080276288933,-17.8419516638935
"Arthrobacter aurescens_30_TGE agar_6","Quadratic",5,TRUE,0.992226649689962,-11.0920548311289,12.9079451688711,-12.2637410938266
"Arthrobacter aurescens_30_TGE agar_6","Logistic",5,FALSE,NA,NA,NA,NA
"Arthrobacter aurescens_37_TGE agar_6","Quadratic",8,TRUE,0.95425233072927,-15.3228380122802,-9.32283801228022,-15.0845133872407
"Arthrobacter aurescens_37_TGE agar_6","Logistic",8,TRUE,0.960519195091922,-16.5014479596535,-10.5014479596535,-16.263123334614
"Arthrobacter aurescens_7_TGE agar_6","Quadratic",11,TRUE,0.967883058829001,-21.0635610705576,-17.6349896419862,-19.8698752521625
"Arthrobacter aurescens_7_TGE agar_6","Logistic",11,TRUE,0.989259315586702,-33.1123543168443,-29.6837828882729,-31.9186684984492
"Arthrobacter citreus_0_TGE agar_6","Quadratic",14,TRUE,0.919954849792194,-22.0837568262894,-19.6837568262894,-20.1665848374436
"Arthrobacter citreus_0_TGE agar_6","Logistic",14,TRUE,0.667618095914706,-2.15204407075509,0.247955929244906,-0.23487208190932
"Arthrobacter citreus_20_TGE agar_6","Quadratic",8,TRUE,0.979558854285607,-14.5519460613018,-8.55194606130184,-14.3136214362623
"Arthrobacter citreus_20_TGE agar_6","Logistic",8,TRUE,0.992082890926977,-22.1401356066507,-16.1401356066507,-21.9018109816112
"Arthrobacter citreus_30_TGE agar_6","Quadratic",9,TRUE,0.917694261027432,-8.50433343528029,-3.70433343528029,-7.91265970327163
"Arthrobacter citreus_30_TGE agar_6","Logistic",9,TRUE,0.951640067983779,-13.2902563940722,-8.49025639407217,-12.6985826620635
"Arthrobacter citreus_37_TGE agar_6","Quadratic",9,TRUE,0.834282364043802,4.42359480302577,9.22359480302577,5.01526853503443
"Arthrobacter citreus_37_TGE agar_6","Logistic",9,TRUE,0.852371748779054,3.38330231674795,8.18330231674795,3.97497604875661
"Arthrobacter citreus_7_TGE agar_6","Quadratic",10,TRUE,0.859443726901139,-2.52384226949321,1.47615773050679,-1.61608699051107
"Arthrobacter citreus_7_TGE agar_6","Logistic",10,TRUE,0.883964395431308,-4.44095075864708,-0.440950758647084,-3.53319547966495
"Arthrobacter globiformis_0_TGE agar_6","Quadratic",19,TRUE,0.0532823958670406,-212.249243056319,-210.649243056319,-209.415926118819
"Arthrobacter globiformis_0_TGE agar_6","Logistic",19,TRUE,0.00155111036112654,-211.238402848868,-209.638402848868,-208.405085911368
"Arthrobacter globiformis_20_TGE agar_6","Quadratic",8,TRUE,0.916485122745007,-8.42396425356961,-2.42396425356961,-8.1856396285301
"Arthrobacter globiformis_20_TGE agar_6","Logistic",8,TRUE,0.991482664542356,-26.6873341294896,-20.6873341294896,-26.4490095044501
"Arthrobacter globiformis_30_TGE agar_6","Quadratic",8,TRUE,0.883098421368814,-6.24502075132682,-0.245020751326821,-6.00669612628731
"Arthrobacter globiformis_30_TGE agar_6","Logistic",8,TRUE,0.934683921077213,-10.9017738308573,-4.90177383085728,-10.6634492058178
"Arthrobacter globiformis_37_TGE agar_6","Quadratic",7,TRUE,0.761198867463192,1.54856202351282,9.54856202351282,1.38629247067876
"Arthrobacter globiformis_37_TGE agar_6","Logistic",7,TRUE,0.98761388712048,-19.1648244336967,-11.1648244336967,-19.3270939865307
"Arthrobacter globiformis_7_TGE agar_6","Quadratic",17,TRUE,0.983995232987358,-54.9570638655858,-53.110910019432,-52.4574238334172
"Arthrobacter globiformis_7_TGE agar_6","Logistic",17,TRUE,0.990214304953085,-63.320468626784,-61.4743147806302,-60.8208285946154
